,Car_Name,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,V_age,Price_increase
71,corolla altis,4.5,12.48,45000,Diesel,Dealer,Manual,0,13,7.98
72,corolla altis,7.45,18.61,56001,Petrol,Dealer,Manual,0,11,11.16
73,etios liva,2.65,5.71,43000,Petrol,Dealer,Manual,0,13,3.06
74,etios cross,4.9,8.93,83000,Diesel,Dealer,Manual,0,10,4.029999999999999
75,etios g,3.95,6.8,36000,Petrol,Dealer,Manual,0,9,2.8499999999999996
76,corolla altis,5.5,14.68,72000,Petrol,Dealer,Manual,0,11,9.18
77,corolla,1.5,12.35,135154,Petrol,Dealer,Automatic,0,20,10.85
78,corolla altis,5.25,22.83,80000,Petrol,Dealer,Automatic,0,14,17.58
79,fortuner,14.5,30.61,89000,Diesel,Dealer,Automatic,0,12,16.11
80,corolla altis,14.73,14.89,23000,Diesel,Dealer,Manual,0,8,0.16000000000000014
81,etios gd,4.75,7.85,40000,Diesel,Dealer,Manual,0,9,3.0999999999999996
82,innova,23.0,25.39,15000,Diesel,Dealer,Automatic,0,7,2.3900000000000006
83,innova,12.5,13.46,38000,Diesel,Dealer,Manual,0,9,0.9600000000000009
84,innova,3.49,13.46,197176,Diesel,Dealer,Manual,0,19,9.97
85,camry,2.5,23.73,142000,Petrol,Individual,Automatic,3,18,21.23
86,land cruiser,35.0,92.6,78000,Diesel,Dealer,Manual,0,14,57.599999999999994
87,corolla altis,5.9,13.74,56000,Petrol,Dealer,Manual,0,12,7.84
88,etios liva,3.45,6.05,47000,Petrol,Dealer,Manual,0,11,2.5999999999999996
89,etios g,4.75,6.76,40000,Petrol,Dealer,Manual,0,10,2.01
90,corolla altis,3.8,18.61,62000,Petrol,Dealer,Manual,0,15,14.809999999999999
91,innova,11.25,16.09,58242,Diesel,Dealer,Manual,0,10,4.84
92,innova,3.51,13.7,75000,Petrol,Dealer,Manual,0,19,10.19
93,fortuner,23.0,30.61,40000,Diesel,Dealer,Automatic,0,9,7.609999999999999
94,corolla altis,4.0,22.78,89000,Petrol,Dealer,Automatic,0,16,18.78
95,corolla altis,5.85,18.61,72000,Petrol,Dealer,Manual,0,12,12.76
96,innova,20.75,25.39,29000,Diesel,Dealer,Automatic,0,8,4.640000000000001
97,corolla altis,17.0,18.64,8700,Petrol,Dealer,Manual,0,7,1.6400000000000006
98,corolla altis,7.05,18.61,45000,Petrol,Dealer,Manual,0,11,11.559999999999999
99,fortuner,9.65,20.45,50024,Diesel,Dealer,Manual,0,14,10.799999999999999
100,Royal Enfield Thunder 500,1.75,1.9,3000,Petrol,Individual,Manual,0,8,0.1499999999999999
101,UM Renegade Mojave,1.7,1.82,1400,Petrol,Individual,Manual,0,7,0.1200000000000001
102,KTM RC200,1.65,1.78,4000,Petrol,Individual,Manual,0,7,0.13000000000000012
103,Bajaj Dominar 400,1.45,1.6,1200,Petrol,Individual,Manual,0,7,0.15000000000000013
104,Royal Enfield Classic 350,1.35,1.47,4100,Petrol,Individual,Manual,0,7,0.11999999999999988
105,KTM RC390,1.35,2.37,21700,Petrol,Individual,Manual,0,9,1.02
106,Hyosung GT250R,1.35,3.45,16500,Petrol,Individual,Manual,1,10,2.1
107,Royal Enfield Thunder 350,1.25,1.5,15000,Petrol,Individual,Manual,0,11,0.25
108,Royal Enfield Thunder 350,1.2,1.5,18000,Petrol,Individual,Manual,0,8,0.30000000000000004
109,Royal Enfield Classic 350,1.2,1.47,11000,Petrol,Individual,Manual,0,7,0.27
110,KTM RC200,1.2,1.78,6000,Petrol,Individual,Manual,0,8,0.5800000000000001
111,Royal Enfield Thunder 350,1.15,1.5,8700,Petrol,Individual,Manual,0,8,0.3500000000000001
112,KTM 390 Duke ,1.15,2.4,7000,Petrol,Individual,Manual,0,10,1.25
113,Mahindra Mojo XT300,1.15,1.4,35000,Petrol,Individual,Manual,0,8,0.25
114,Royal Enfield Classic 350,1.15,1.47,17000,Petrol,Individual,Manual,0,9,0.32000000000000006
115,Royal Enfield Classic 350,1.11,1.47,17500,Petrol,Individual,Manual,0,9,0.3599999999999999
116,Royal Enfield Classic 350,1.1,1.47,33000,Petrol,Individual,Manual,0,11,0.3699999999999999
117,Royal Enfield Thunder 500,1.1,1.9,14000,Petrol,Individual,Manual,0,9,0.7999999999999998
118,Royal Enfield Classic 350,1.1,1.47,26000,Petrol,Individual,Manual,0,9,0.3699999999999999
119,Royal Enfield Thunder 500,1.05,1.9,5400,Petrol,Individual,Manual,0,11,0.8499999999999999
120,Bajaj Pulsar RS200,1.05,1.26,5700,Petrol,Individual,Manual,0,8,0.20999999999999996
121,Royal Enfield Thunder 350,1.05,1.5,6900,Petrol,Individual,Manual,0,13,0.44999999999999996
122,Royal Enfield Bullet 350,1.05,1.17,6000,Petrol,Individual,Manual,0,8,0.11999999999999988
123,Royal Enfield Classic 350,1.0,1.47,46500,Petrol,Individual,Manual,0,11,0.47
124,Royal Enfield Classic 500,0.95,1.75,11500,Petrol,Individual,Manual,0,12,0.8
125,Royal Enfield Classic 500,0.9,1.75,40000,Petrol,Individual,Manual,0,15,0.85
126,Bajaj Avenger 220,0.9,0.95,1300,Petrol,Individual,Manual,0,7,0.04999999999999993
127,Bajaj Avenger 150,0.75,0.8,7000,Petrol,Individual,Manual,0,8,0.050000000000000044
128,Honda CB Hornet 160R,0.8,0.87,3000,Petrol,Individual,Manual,0,7,0.06999999999999995
129,Yamaha FZ S V 2.0,0.78,0.84,5000,Petrol,Individual,Manual,0,7,0.05999999999999994
130,Honda CB Hornet 160R,0.75,0.87,11000,Petrol,Individual,Manual,0,7,0.12
131,Yamaha FZ 16,0.75,0.82,18000,Petrol,Individual,Manual,0,9,0.06999999999999995
132,Bajaj Avenger 220,0.75,0.95,3500,Petrol,Individual,Manual,0,7,0.19999999999999996
133,Bajaj Avenger 220,0.72,0.95,500,Petrol,Individual,Manual,0,8,0.22999999999999998
134,TVS Apache RTR 160,0.65,0.81,11800,Petrol,Individual,Manual,0,7,0.16000000000000003
135,Bajaj Pulsar 150,0.65,0.74,5000,Petrol,Individual,Manual,0,9,0.08999999999999997
136,Honda CBR 150,0.65,1.2,23500,Petrol,Individual,Manual,0,10,0.5499999999999999
137,Hero Extreme,0.65,0.787,16000,Petrol,Individual,Manual,0,11,0.137
138,Honda CB Hornet 160R,0.6,0.87,15000,Petrol,Individual,Manual,0,8,0.27
139,Bajaj Avenger 220 dtsi,0.6,0.95,16600,Petrol,Individual,Manual,0,9,0.35
140,Honda CBR 150,0.6,1.2,32000,Petrol,Individual,Manual,0,11,0.6
141,Bajaj Avenger 150 street,0.6,0.8,20000,Petrol,Individual,Manual,0,8,0.20000000000000007
142,Yamaha FZ  v 2.0,0.6,0.84,29000,Petrol,Individual,Manual,0,9,0.24
143,Yamaha FZ  v 2.0,0.6,0.84,25000,Petrol,Individual,Manual,0,8,0.24
144,Bajaj Pulsar  NS 200,0.6,0.99,25000,Petrol,Individual,Manual,0,10,0.39
145,TVS Apache RTR 160,0.6,0.81,19000,Petrol,Individual,Manual,0,12,0.21000000000000008
146,Hero Extreme,0.55,0.787,15000,Petrol,Individual,Manual,0,10,0.237
147,Yamaha FZ S V 2.0,0.55,0.84,58000,Petrol,Individual,Manual,0,9,0.2899999999999999
148,Bajaj Pulsar 220 F,0.52,0.94,45000,Petrol,Individual,Manual,0,14,0.41999999999999993
149,Bajaj Pulsar 220 F,0.51,0.94,24000,Petrol,Individual,Manual,0,8,0.42999999999999994
150,TVS Apache RTR 180,0.5,0.826,6000,Petrol,Individual,Manual,0,13,0.32599999999999996
151,Hero Passion X pro,0.5,0.55,31000,Petrol,Individual,Manual,0,8,0.050000000000000044
152,Bajaj Pulsar NS 200,0.5,0.99,13000,Petrol,Individual,Manual,0,12,0.49
153,Bajaj Pulsar NS 200,0.5,0.99,45000,Petrol,Individual,Manual,0,11,0.49
154,Yamaha Fazer ,0.5,0.88,8000,Petrol,Individual,Manual,0,10,0.38
155,Honda Activa 4G,0.48,0.51,4300,Petrol,Individual,Automatic,0,7,0.030000000000000027
156,TVS Sport ,0.48,0.52,15000,Petrol,Individual,Manual,0,7,0.040000000000000036
157,Yamaha FZ S V 2.0,0.48,0.84,23000,Petrol,Individual,Manual,0,9,0.36
158,Honda Dream Yuga ,0.48,0.54,8600,Petrol,Individual,Manual,0,7,0.06000000000000005
159,Honda Activa 4G,0.45,0.51,4000,Petrol,Individual,Automatic,0,7,0.06
160,Bajaj Avenger Street 220,0.45,0.95,24000,Petrol,Individual,Manual,0,13,0.49999999999999994
161,TVS Apache RTR 180,0.45,0.826,23000,Petrol,Individual,Manual,0,10,0.37599999999999995
162,Bajaj Pulsar NS 200,0.45,0.99,14500,Petrol,Individual,Manual,0,12,0.54
163,Bajaj Avenger 220 dtsi,0.45,0.95,27000,Petrol,Individual,Manual,0,14,0.49999999999999994
164,Hero Splender iSmart,0.45,0.54,14000,Petrol,Individual,Manual,0,8,0.09000000000000002
165,Activa 3g,0.45,0.54,500,Petrol,Individual,Automatic,0,8,0.09000000000000002
166,Hero Passion Pro,0.45,0.55,1000,Petrol,Individual,Manual,0,8,0.10000000000000003
167,TVS Apache RTR 160,0.42,0.81,42000,Petrol,Individual,Manual,0,10,0.39000000000000007
168,Honda CB Trigger,0.42,0.73,12000,Petrol,Individual,Manual,0,11,0.31
169,Hero Splender iSmart,0.4,0.54,14000,Petrol,Individual,Manual,0,9,0.14
170,Yamaha FZ S ,0.4,0.83,5500,Petrol,Individual,Manual,0,12,0.42999999999999994
171,Hero Passion Pro,0.4,0.55,6700,Petrol,Individual,Manual,0,9,0.15000000000000002
172,Bajaj Pulsar 135 LS,0.4,0.64,13700,Petrol,Individual,Manual,0,10,0.24
173,Activa 4g,0.4,0.51,1300,Petrol,Individual,Automatic,0,7,0.10999999999999999
174,Honda CB Unicorn,0.38,0.72,38600,Petrol,Individual,Manual,0,9,0.33999999999999997
175,Hero Honda CBZ extreme,0.38,0.787,75000,Petrol,Individual,Manual,0,13,0.40700000000000003
176,Honda Karizma,0.35,1.05,30000,Petrol,Individual,Manual,0,13,0.7000000000000001
177,Honda Activa 125,0.35,0.57,24000,Petrol,Individual,Automatic,0,8,0.21999999999999997
178,TVS Jupyter,0.35,0.52,19000,Petrol,Individual,Automatic,0,10,0.17000000000000004
179,Honda Karizma,0.31,1.05,213000,Petrol,Individual,Manual,0,14,0.74
180,Hero Honda Passion Pro,0.3,0.51,60000,Petrol,Individual,Manual,0,12,0.21000000000000002
181,Hero Splender Plus,0.3,0.48,50000,Petrol,Individual,Manual,0,8,0.18
182,Honda CB Shine,0.3,0.58,30000,Petrol,Individual,Manual,0,11,0.27999999999999997
183,Bajaj Discover 100,0.27,0.47,21000,Petrol,Individual,Manual,0,11,0.19999999999999996
184,Bajaj Pulsar 150,0.25,0.75,26000,Petrol,Individual,Manual,1,16,0.5
185,Suzuki Access 125,0.25,0.58,1900,Petrol,Individual,Automatic,0,16,0.32999999999999996
186,TVS Wego,0.25,0.52,22000,Petrol,Individual,Automatic,0,14,0.27
187,Honda CB twister,0.25,0.51,32000,Petrol,Individual,Manual,0,11,0.26
188,Hero Glamour,0.25,0.57,18000,Petrol,Individual,Manual,0,11,0.31999999999999995
189,Hero Super Splendor,0.2,0.57,55000,Petrol,Individual,Manual,0,19,0.36999999999999994
190,Bajaj Pulsar 150,0.2,0.75,60000,Petrol,Individual,Manual,0,16,0.55
191,Bajaj Discover 125,0.2,0.57,25000,Petrol,Individual,Manual,1,12,0.36999999999999994
192,Hero Hunk,0.2,0.75,49000,Petrol,Individual,Manual,1,17,0.55
193,Hero  Ignitor Disc,0.2,0.65,24000,Petrol,Individual,Manual,1,11,0.45
194,Hero  CBZ Xtreme,0.2,0.787,50000,Petrol,Individual,Manual,0,16,0.587
195,Bajaj  ct 100,0.18,0.32,35000,Petrol,Individual,Manual,0,9,0.14
196,Activa 3g,0.17,0.52,500000,Petrol,Individual,Automatic,0,16,0.35
197,Honda CB twister,0.16,0.51,33000,Petrol,Individual,Manual,0,14,0.35
198,Bajaj Discover 125,0.15,0.57,35000,Petrol,Individual,Manual,1,13,0.41999999999999993
199,Honda CB Shine,0.12,0.58,53000,Petrol,Individual,Manual,0,17,0.45999999999999996
200,Bajaj Pulsar 150,0.1,0.75,92233,Petrol,Individual,Manual,0,18,0.65
201,i20,3.25,6.79,58000,Diesel,Dealer,Manual,1,14,3.54
202,grand i10,4.4,5.7,28200,Petrol,Dealer,Manual,0,9,1.2999999999999998
203,i10,2.95,4.6,53460,Petrol,Dealer,Manual,0,13,1.6499999999999995
204,eon,2.75,4.43,28282,Petrol,Dealer,Manual,0,9,1.6799999999999997
205,grand i10,5.25,5.7,3493,Petrol,Dealer,Manual,1,8,0.4500000000000002
206,xcent,5.75,7.13,12479,Petrol,Dealer,Manual,0,7,1.38
207,grand i10,5.15,5.7,34797,Petrol,Dealer,Automatic,0,9,0.5499999999999998
208,i20,7.9,8.1,3435,Petrol,Dealer,Manual,0,7,0.1999999999999993
209,grand i10,4.85,5.7,21125,Diesel,Dealer,Manual,0,9,0.8500000000000005
210,i10,3.1,4.6,35775,Petrol,Dealer,Manual,0,12,1.4999999999999996
211,elantra,11.75,14.79,43535,Diesel,Dealer,Manual,0,9,3.039999999999999
212,creta,11.25,13.6,22671,Petrol,Dealer,Manual,0,8,2.3499999999999996
213,i20,2.9,6.79,31604,Petrol,Dealer,Manual,0,13,3.89
214,grand i10,5.25,5.7,20114,Petrol,Dealer,Manual,0,7,0.4500000000000002
215,verna,4.5,9.4,36100,Petrol,Dealer,Manual,0,12,4.9
216,eon,2.9,4.43,12500,Petrol,Dealer,Manual,0,8,1.5299999999999998
217,eon,3.15,4.43,15000,Petrol,Dealer,Manual,0,8,1.2799999999999998
218,verna,6.45,9.4,45078,Petrol,Dealer,Manual,0,10,2.95
219,verna,4.5,9.4,36000,Petrol,Dealer,Manual,0,12,4.9
220,eon,3.5,4.43,38488,Petrol,Dealer,Manual,0,7,0.9299999999999997
221,i20,4.5,6.79,32000,Petrol,Dealer,Automatic,0,11,2.29
222,i20,6.0,7.6,77632,Diesel,Dealer,Manual,0,10,1.5999999999999996
223,verna,8.25,9.4,61381,Diesel,Dealer,Manual,0,9,1.1500000000000004
224,verna,5.11,9.4,36198,Petrol,Dealer,Automatic,0,11,4.29
225,i10,2.7,4.6,22517,Petrol,Dealer,Manual,0,13,1.8999999999999995
226,grand i10,5.25,5.7,24678,Petrol,Dealer,Manual,0,9,0.4500000000000002
227,i10,2.55,4.43,57000,Petrol,Dealer,Manual,0,13,1.88
228,verna,4.95,9.4,60000,Diesel,Dealer,Manual,0,12,4.45
229,i20,3.1,6.79,52132,Diesel,Dealer,Manual,0,12,3.69
230,verna,6.15,9.4,45000,Diesel,Dealer,Manual,0,11,3.25
231,verna,9.25,9.4,15001,Petrol,Dealer,Manual,0,7,0.15000000000000036
232,elantra,11.45,14.79,12900,Petrol,Dealer,Automatic,0,9,3.34
233,grand i10,3.9,5.7,53000,Diesel,Dealer,Manual,0,11,1.8000000000000003
234,grand i10,5.5,5.7,4492,Petrol,Dealer,Manual,0,9,0.20000000000000018
235,verna,9.1,9.4,15141,Petrol,Dealer,Manual,0,7,0.3000000000000007
236,eon,3.1,4.43,11849,Petrol,Dealer,Manual,0,8,1.3299999999999996
237,creta,11.25,13.6,68000,Diesel,Dealer,Manual,0,9,2.3499999999999996
238,verna,4.8,9.4,60241,Petrol,Dealer,Manual,0,11,4.6000000000000005
239,eon,2.0,4.43,23709,Petrol,Dealer,Manual,0,12,2.4299999999999997
240,verna,5.35,9.4,32322,Diesel,Dealer,Manual,0,12,4.050000000000001
241,xcent,4.75,7.13,35866,Petrol,Dealer,Manual,1,9,2.38
242,xcent,4.4,7.13,34000,Petrol,Dealer,Manual,0,10,2.7299999999999995
243,i20,6.25,7.6,7000,Petrol,Dealer,Manual,0,8,1.3499999999999996
244,verna,5.95,9.4,49000,Diesel,Dealer,Manual,0,11,3.45
245,verna,5.2,9.4,71000,Diesel,Dealer,Manual,0,12,4.2
246,i20,3.75,6.79,35000,Petrol,Dealer,Manual,0,12,3.04
247,verna,5.95,9.4,36000,Petrol,Dealer,Manual,0,9,3.45
248,i10,4.0,4.6,30000,Petrol,Dealer,Manual,0,11,0.5999999999999996
249,i20,5.25,7.6,17000,Petrol,Dealer,Manual,0,8,2.3499999999999996
250,creta,12.9,13.6,35934,Diesel,Dealer,Manual,0,8,0.6999999999999993
251,city,5.0,9.9,56701,Petrol,Dealer,Manual,0,11,4.9
252,brio,5.4,6.82,31427,Petrol,Dealer,Automatic,0,9,1.42
253,city,7.2,9.9,48000,Diesel,Dealer,Manual,0,10,2.7
254,city,5.25,9.9,54242,Petrol,Dealer,Manual,0,11,4.65
255,brio,3.0,5.35,53675,Petrol,Dealer,Manual,0,12,2.3499999999999996
256,city,10.25,13.6,49562,Petrol,Dealer,Manual,0,8,3.3499999999999996
257,city,8.5,13.6,40324,Petrol,Dealer,Manual,0,9,5.1
258,city,8.4,13.6,25000,Petrol,Dealer,Manual,0,9,5.199999999999999
259,amaze,3.9,7.0,36054,Petrol,Dealer,Manual,0,10,3.1
260,city,9.15,13.6,29223,Petrol,Dealer,Manual,0,8,4.449999999999999
261,brio,5.5,5.97,5600,Petrol,Dealer,Manual,0,8,0.46999999999999975
262,amaze,4.0,5.8,40023,Petrol,Dealer,Manual,0,9,1.7999999999999998
263,jazz,6.6,7.7,16002,Petrol,Dealer,Manual,0,8,1.1000000000000005
264,amaze,4.0,7.0,40026,Petrol,Dealer,Manual,0,9,3.0
265,jazz,6.5,8.7,21200,Petrol,Dealer,Manual,0,7,2.1999999999999993
266,amaze,3.65,7.0,35000,Petrol,Dealer,Manual,0,10,3.35
267,city,8.35,9.4,19434,Diesel,Dealer,Manual,0,8,1.0500000000000007
268,brio,4.8,5.8,19000,Petrol,Dealer,Manual,0,7,1.0
269,city,6.7,10.0,18828,Petrol,Dealer,Manual,0,9,3.3
270,city,4.1,10.0,69341,Petrol,Dealer,Manual,0,13,5.9
271,city,3.0,10.0,69562,Petrol,Dealer,Manual,0,15,7.0
272,city,7.5,10.0,27600,Petrol,Dealer,Manual,0,9,2.5
273,jazz,2.25,7.5,61203,Petrol,Dealer,Manual,0,14,5.25
274,brio,5.3,6.8,16500,Petrol,Dealer,Manual,0,10,1.5
275,city,10.9,13.6,30753,Petrol,Dealer,Automatic,0,8,2.6999999999999993
276,city,8.65,13.6,24800,Petrol,Dealer,Manual,0,9,4.949999999999999
277,city,9.7,13.6,21780,Petrol,Dealer,Manual,0,9,3.9000000000000004
278,jazz,6.0,8.4,4000,Petrol,Dealer,Manual,0,8,2.4000000000000004
279,city,6.25,13.6,40126,Petrol,Dealer,Manual,0,10,7.35
280,brio,5.25,5.9,14465,Petrol,Dealer,Manual,0,9,0.6500000000000004
281,city,2.1,7.6,50456,Petrol,Dealer,Manual,0,18,5.5
282,city,8.25,14.0,63000,Diesel,Dealer,Manual,0,10,5.75
283,city,8.99,11.8,9010,Petrol,Dealer,Manual,0,8,2.8100000000000005
284,brio,3.5,5.9,9800,Petrol,Dealer,Manual,0,11,2.4000000000000004
285,jazz,7.4,8.5,15059,Petrol,Dealer,Automatic,0,8,1.0999999999999996
286,jazz,5.65,7.9,28569,Petrol,Dealer,Manual,0,8,2.25
287,amaze,5.75,7.5,44000,Petrol,Dealer,Automatic,0,9,1.75
288,city,8.4,13.6,34000,Petrol,Dealer,Manual,0,9,5.199999999999999
289,city,10.11,13.6,10980,Petrol,Dealer,Manual,0,8,3.49
290,amaze,4.5,6.4,19000,Petrol,Dealer,Manual,0,10,1.9000000000000004
291,brio,5.4,6.1,31427,Petrol,Dealer,Manual,0,9,0.6999999999999993
292,jazz,6.4,8.4,12000,Petrol,Dealer,Manual,0,8,2.0
293,city,3.25,9.9,38000,Petrol,Dealer,Manual,0,14,6.65
294,amaze,3.75,6.8,33019,Petrol,Dealer,Manual,0,10,3.05
295,city,8.55,13.09,60076,Diesel,Dealer,Manual,0,9,4.539999999999999
296,city,9.5,11.6,33988,Diesel,Dealer,Manual,0,8,2.0999999999999996
297,brio,4.0,5.9,60000,Petrol,Dealer,Manual,0,9,1.9000000000000004
298,city,3.35,11.0,87934,Petrol,Dealer,Manual,0,15,7.65
299,city,11.5,12.5,9000,Diesel,Dealer,Manual,0,7,1.0
300,brio,5.3,5.9,5464,Petrol,Dealer,Manual,0,8,0.6000000000000005
